source;target
H;C
H;H2
CH;C
CH;H2
H;CH
H;H2
CH2;CH
CH2;H2
H;N
H;H2
NH;N
NH;H2
H;CH2
H;H2
CH3;CH2
CH3;H2
H;NH
H;H2
NH2;NH
NH2;H2
H;NH
H;H2
NH2;NH
NH2;H2
H;CH3
H;H2
CH4;CH3
CH4;H2
H;O
H;H2
OH;O
OH;H2
H;NH2
H;H2
NH3;NH2
NH3;H2
H;OH
H;H2
H2O;OH
H2O;H2
H;CH
H;C
C2;CH
C2;C
H;C2H
H;H2
C2H2;C2H
C2H2;H2
H;CN
H;H2
HCN;CN
HCN;H2
H;C2H2
H;H2
C2H3;C2H2
C2H3;H2
H;OH
H;C
CO;OH
CO;C
H;HCN
H;H2
H2CN;HCN
H2CN;H2
H;O
H;CH2
HCO;O
HCO;CH2
H;CO
H;H2
HCO;CO
HCO;H2
H;O
H;NH
NO;O
NO;NH
H;OH
H;N
NO;OH
NO;N
H;HCO
H;H2
H2CO;HCO
H2CO;H2
H;OH
H;NH
HNO;OH
HNO;NH
H;NH2
H;O
HNO;NH2
HNO;O
H;NO
H;H2
HNO;NO
HNO;H2
H;OH
H;O
O2;OH
O2;O
H;OH
H;OH
O2H;OH
O2H;OH
H;H2O
H;O
O2H;H2O
O2H;O
H;O2
H;H2
O2H;O2
O2H;H2
H;S
H;H2
HS;S
HS;H2
H;H2O
H;OH
H2O2;H2O
H2O2;OH
H;O2H
H;H2
H2O2;O2H
H2O2;H2
H;HS
H;H2
H2S;HS
H2S;H2
H;HCN
H;O
OCN;HCN
OCN;O
H;NH
H;CO
OCN;NH
OCN;CO
H;CH3
H;CO
H2CCO;CH3
H2CCO;CO
H;CO
H;OH
CO2;CO
CO2;OH
H;N2
H;OH
N2O;N2
N2O;OH
H;NO
H;NH
N2O;NO
N2O;NH
H;NO
H;OH
NO2;NO
NO2;OH
H;HS
H;N
NS;HS
NS;N
H;S
H;NH
NS;S
NS;NH
H;S
H;OH
SO;S
SO;OH
H;HS
H;O
SO;HS
SO;O
H;HCN
H;CN
NCCN;HCN
NCCN;CN
H;HS
H;CO
OCS;HS
OCS;CO
H;HS
H;S
S2;HS
S2;S
H2;CH
H2;H
C;CH
C;H
H2;CH2
H2;H
CH;CH2
CH;H
H2;NH
H2;H
N;NH
N;H
H2;CH3
H2;H
CH2;CH3
CH2;H
H2;NH2
H2;H
NH;NH2
NH;H
H2;CH4
H2;H
CH3;CH4
CH3;H
H2;OH
H2;H
O;OH
O;H
H2;NH3
H2;H
NH2;NH3
NH2;H
H2;H2O
H2;H
OH;H2O
OH;H
H2;HF
H2;H
F;HF
F;H
H2;HCN
H2;H
CN;HCN
CN;H
H2;OH
H2;OH
O2;OH
O2;OH
H2;O2H
H2;H
O2;O2H
O2;H
H2;HS
H2;H
S;HS
S;H
H2;H2O2
H2;H
O2H;H2O2
O2H;H
H2;H2S
H2;H
HS;H2S
HS;H
C;C2
C;H
CH;C2
CH;H
C;CH
C;CH
CH2;CH
CH2;CH
C;C2H
C;H
CH2;C2H
CH2;H
C;N
C;CH
NH;N
NH;CH
C;CN
C;H
NH;CN
NH;H
C;C2H2
C;H
CH3;C2H2
CH3;H
C;HCN
C;H
NH2;HCN
NH2;H
C;HNC
C;H
NH2;HNC
NH2;H
C;NH
C;CH
NH2;NH
NH2;CH
C;O
C;CH
OH;O
OH;CH
C;CO
C;H
OH;CO
OH;H
C;C3
C;H
C2H;C3
C2H;H
C;C2
C;N
CN;C2
CN;N
C;C3
C;H2
C2H2;C3
C2H2;H2
C;C3H
C;H
C2H2;C3H
C2H2;H
C;C3H2
C;H
C2H3;C3H2
C2H3;H
C;C2
C;O
CO;C2
CO;O
C;CN
C;N
N2;CN
N2;N
C;C2N
C;H2
H2CN;C2N
H2CN;H2
C;C3H3
C;H
C2H4;C3H3
C2H4;H
C;CO
C;CH
HCO;CO
HCO;CH
C;C2O
C;H
HCO;C2O
HCO;H
C;SiC
C;H
SiH;SiC
SiH;H
C;CH3CCH
C;H
C2H5;CH3CCH
C2H5;H
C;CN
C;O
NO;CN
NO;O
C;CO
C;N
NO;CO
NO;N
C;HCSi
C;H
SiH2;HCSi
SiH2;H
C;SiCH2
C;H
SiH3;SiCH2
SiH3;H
C;CP
C;H
PH;CP
PH;H
C;CO
C;O
O2;CO
O2;O
C;CO
C;O
O2;CO
O2;O
C;S
C;CH
HS;S
HS;CH
C;CS
C;H
HS;CS
HS;H
C;C4
C;H
C3H;C4
C3H;H
C;C4H
C;H
C3H2;C4H
C3H2;H
C;C4H
C;H
H2CCC;C4H
H2CCC;H
C;C2
C;CN
