# file created on: Wed Feb 24 01:52:30 2010
#i d[i]    d[i+1]   d[i+1]pc N        Av 
1 0.00e+00 3.85e+12 1.25e-06 1.22e+18 1.30e-03 
2 3.851694e+12 7.886790e+12 2.555932e-06 2.494022e+18 2.667403e-03 
3 7.886790e+12 1.211402e+13 3.925883e-06 3.830789e+18 4.097101e-03 
4 1.211402e+13 1.654253e+13 5.361065e-06 5.231208e+18 5.594875e-03 
5 1.654253e+13 2.118191e+13 6.864584e-06 6.698308e+18 7.163966e-03 
6 2.118191e+13 2.604220e+13 8.439695e-06 8.235266e+18 8.807771e-03 
7 2.604220e+13 3.113391e+13 1.008981e-05 9.845407e+18 1.052985e-02 
8 3.113391e+13 3.646807e+13 1.181849e-05 1.153222e+19 1.233392e-02 
9 3.646807e+13 4.205622e+13 1.362948e-05 1.329934e+19 1.422390e-02 
10 4.205622e+13 4.791045e+13 1.552671e-05 1.515061e+19 1.620387e-02 
11 4.791045e+13 5.404344e+13 1.751427e-05 1.709004e+19 1.827811e-02 
12 5.404344e+13 6.046845e+13 1.959647e-05 1.912180e+19 2.045113e-02 
13 6.046845e+13 6.719939e+13 2.177782e-05 2.125031e+19 2.272761e-02 
14 6.719939e+13 7.425084e+13 2.406304e-05 2.348018e+19 2.511249e-02 
15 7.425084e+13 8.163804e+13 2.645707e-05 2.581622e+19 2.761093e-02 
16 8.163804e+13 8.937699e+13 2.896509e-05 2.826349e+19 3.022833e-02 
17 8.937699e+13 9.748444e+13 3.159253e-05 3.082729e+19 3.297036e-02 
18 9.748444e+13 1.059779e+14 3.434508e-05 3.351316e+19 3.584296e-02 
19 1.059779e+14 1.148758e+14 3.722870e-05 3.632693e+19 3.885233e-02 
20 1.148758e+14 1.241974e+14 4.024962e-05 3.927468e+19 4.200500e-02 
21 1.241974e+14 1.339629e+14 4.341438e-05 4.236278e+19 4.530779e-02 
22 1.339629e+14 1.441933e+14 4.672984e-05 4.559793e+19 4.876784e-02 
23 1.441933e+14 1.549109e+14 5.020316e-05 4.898712e+19 5.239265e-02 
24 1.549109e+14 1.661388e+14 5.384187e-05 5.253770e+19 5.619005e-02 
25 1.661388e+14 1.779013e+14 5.765384e-05 5.625733e+19 6.016827e-02 
26 1.779013e+14 1.902239e+14 6.164732e-05 6.015408e+19 6.433591e-02 
27 1.902239e+14 2.031332e+14 6.583095e-05 6.423637e+19 6.870200e-02 
28 2.031332e+14 2.166573e+14 7.021379e-05 6.851305e+19 7.327599e-02 
29 2.166573e+14 2.308253e+14 7.480532e-05 7.299336e+19 7.806777e-02 
30 2.308253e+14 2.456679e+14 7.961548e-05 7.768701e+19 8.308771e-02 
31 2.456679e+14 2.612172e+14 8.465468e-05 8.260415e+19 8.834668e-02 
32 2.612172e+14 2.775070e+14 8.993382e-05 8.775542e+19 9.385606e-02 
33 2.775070e+14 2.945724e+14 9.546434e-05 9.315197e+19 9.962778e-02 
34 2.945724e+14 3.124504e+14 1.012582e-04 9.880548e+19 1.056743e-01 
35 3.124504e+14 3.311796e+14 1.073279e-04 1.047282e+20 1.120088e-01 
36 3.311796e+14 3.508007e+14 1.136867e-04 1.109329e+20 1.186448e-01 
37 3.508007e+14 3.713560e+14 1.203482e-04 1.174331e+20 1.255969e-01 
38 3.713560e+14 3.928901e+14 1.273269e-04 1.242428e+20 1.328800e-01 
39 3.928901e+14 4.154496e+14 1.346379e-04 1.313767e+20 1.405098e-01 
40 4.154496e+14 4.390832e+14 1.422971e-04 1.388503e+20 1.485030e-01 
41 4.390832e+14 4.638422e+14 1.503209e-04 1.466798e+20 1.568768e-01 
42 4.638422e+14 4.897801e+14 1.587268e-04 1.548821e+20 1.656493e-01 
43 4.897801e+14 5.169530e+14 1.675329e-04 1.634749e+20 1.748395e-01 
44 5.169530e+14 5.454198e+14 1.767584e-04 1.724769e+20 1.844673e-01 
45 5.454198e+14 5.752421e+14 1.864231e-04 1.819075e+20 1.945535e-01 
46 5.752421e+14 6.064844e+14 1.965480e-04 1.917872e+20 2.051200e-01 
47 6.064844e+14 6.392143e+14 2.071551e-04 2.021373e+20 2.161896e-01 
48 6.392143e+14 6.735026e+14 2.182672e-04 2.129802e+20 2.277863e-01 
