   1 H        CH                C        H2                 2.70e-11    0.38       0.0C  300 2000BHG93
   2 H        CH2               CH       H2                 6.64e-11    0.00       0.0L  300 2500ANIST
   3 H        NH                N        H2                 1.73e-11    0.50    2400.0L   80  300C    
   4 H        CH3               CH2      H2                 1.00e-10    0.00    7600.0L  300 2500ANIST
   5 H        NH2               NH       H2                 5.25e-12    0.79    2200.0L   73  300C    
   7 H        CH4               CH3      H2                 5.94e-13    3.00    4045.0L  300 2500ANIST
   8 H        OH                O        H2                 6.99e-14    2.80    1950.0L  300 2500ANIST
   9 H        NH3               NH2      H2                 7.80e-13    2.40    4990.0M  200 2500CNIST
  10 H        H2O               OH       H2                 1.59e-11    1.20    9610.0L  250 3000ANIST
  11 H        C2                CH       C                  4.67e-10    0.50   30450.0L 101541000C    
  12 H        HCN               CN       H2                 6.20e-10    0.00   12500.0L  300 2500CNIST
  13 H        C2H3              C2H2     H2                 3.32e-11    0.00       0.0L  300 2500ANIST
  14 H        CO                OH       C                  1.10e-10    0.50   77700.0L 259041000C    
  15 H        H2CN              HCN      H2                 1.00e-10    0.50       0.0M   10  300CNM90
  16 H        HCO               O        CH2                6.61e-11    0.00   51598.0M 1200 1812ANIST
  17 H        HCO               CO       H2                 2.00e-10    0.00       0.0M  300 2500ANIST
  18 H        NO                O        NH                 9.29e-10   -0.10   35220.0M  300 3000CNIST
  19 H        NO                OH       N                  3.60e-10    0.00   24910.0L 1500 4524ANIST
  20 H        H2CO              HCO      H2                 4.85e-12    1.90    1379.0C  250 5000BNIST
  21 H        HNO               OH       NH                 2.40e-09   -0.50    9010.0L  350 3000CNIST
  22 H        HNO               NH2      O                  1.05e-09   -0.30   14730.0L  550 3000ANIST
  23 H        HNO               NO       H2                 4.50e-11    0.72     329.0C  200 3000BNIST
  24 H        O2                OH       O                  2.61e-10    0.00    8156.0L  250 4000ANIST
  25 H        O2H               OH       OH                 1.66e-10    0.00     413.0L  230 2500ANIST
  26 H        O2H               H2O      O                  5.00e-11    0.00     866.0M  245 2500CNIST
  27 H        O2H               O2       H2                 2.06e-11    0.84     277.0L  230 2500ANIST
  28 H        HS                S        H2                 2.50e-11    0.00       0.0M  300 2500CNIST
  29 H        H2O2              H2O      OH                 1.70e-11    0.00    1800.0L  300 2500ANIST
  30 H        H2O2              O2H      H2                 8.00e-11    0.00    4000.0L  300 2500ANIST
  31 H        H2S               HS       H2                 4.65e-11    0.00    1139.0L  190 2560ANIST
  32 H        CO2               CO       OH                 3.38e-10    0.00   13163.0L  30015223ANIST
  33 H        N2O               N2       OH                 5.13e-14    3.15    3603.0L  300 4000ANIST
  34 H        N2O               NO       NH                 2.94e-12    0.50   15100.0L  50341000C    
  35 H        NO2               NO       OH                 1.40e-10    0.00     740.0M   24  300CNM90
  36 H        NS                HS       N                  7.27e-11    0.50   15700.0L  52341000CMI84
  37 H        NS                S        NH                 7.27e-11    0.50   20735.0L  69141000CMI84
  38 H        SO                S        OH                 5.90e-10   -0.31   11100.0L  37041000CLG88
  39 H        SO                HS       O                  1.73e-11    0.50   19930.0L  66441000CMI84
  40 H        OCS               HS       CO                 1.23e-11    0.00    1949.0M  261  525ANIST
  41 H        S2                HS       S                  2.25e-10    0.50    8355.0L  278  300CMI84
  42 H2       C                 CH       H                  6.64e-10    0.00   11700.0M  300 2500CNIST
  43 H2       CH                CH2      H                  5.46e-10    0.00    1943.0L  300 2500ANIST
  44 H2       N                 NH       H                  1.69e-09    0.00   18095.0L 1600 2850ANIST
  45 H2       CH2               CH3      H                  5.18e-11    0.17    6400.0M  300 2500CNIST
  46 H2       NH                NH2      H                  5.96e-11    0.00    7782.0M 2601 2788ANIST
  47 H2       CH3               CH4      H                  6.86e-14    2.74    4740.0L  300 2500ANIST
  48 H2       O                 OH       H                  3.14e-13    2.70    3150.0M  297 3532ANIST
  49 H2       NH2               NH3      H                  2.05e-15    3.89    1400.0C  200 2500BNIST
  50 H2       OH                H2O      H                  2.05e-12    1.52    1736.0M  250 2581ANIST
  51 H2       CN                HCN      H                  4.04e-13    2.87     820.0L  200 3500ANIST
  52 H2       O2                OH       OH                 3.16e-10    0.00   21890.0M  300 2500CNIST
  53 H2       O2                O2H      H                  2.40e-10    0.00   28500.0L  300 2500ANIST
  54 H2       S                 HS       H                  1.76e-13    2.88    6126.0M  910 3137ANIST
  55 H2       O2H               H2O2     H                  4.38e-12    0.00   10751.0L  300 2500ANIST
  56 H2       HS                H2S      H                  6.52e-12    0.09    8050.0L  268  300CLG88
  57 H2       CO2               CO       H2O                2.94e-14    0.50    7550.0L  251  300C    
  58 C        CH                C2       H                  1.73e-11    0.50       0.0L   10  300C    
  59 C        CH2               CH       CH                 2.69e-12    0.00   23550.0C 1000 4000BNIST
  60 C        CH2               C2H      H                  5.00e-11    0.50       0.0L   10  300CLH84
  61 C        NH                N        CH                 1.73e-11    0.50    4000.0L  133  300C    
  62 C        NH                CN       H                  1.10e-10    0.50       0.0L   10  300C    
  63 C        NH2               HCN      H                  3.26e-11   -0.10      -9.0C   10  300BHT00
  64 C        NH2               HNC      H                  3.26e-11   -0.10      -9.0C   10  300BHT00
  65 C        NH2               NH       CH                 9.62e-13    0.00   10517.0C 1000 4000BNIST
  66 C        OH                O        CH                 2.25e-11    0.50   14800.0L  49341000C    
  67 C        OH                CO       H                  1.10e-10    0.50       0.0L   10  300C    
  68 C        CN                C2       N                  4.98e-10    0.00   18116.0L  60341000A    
  69 C        C2H2              C3H      H                  2.00e-10    0.00       0.0M  300 2500ANIST
  70 C        CO                C2       O                  2.94e-11    0.50   58025.0L 193441000C    
  71 C        N2                CN       N                  8.69e-11    0.00   22600.0L 2000 5000ANIST
